1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	1	1
1	0	99	0	4_N_0	0	4_B_0	0	4_R_0	0	0	0	0	0	0	0	0	0	1	1
1	0	0	0	4_N_0	0	4_B_0	0	4_R_0	0	0	0	0	0	0	0	0	5_N_0	1	1
1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1
1	0	0	0	0	0	0	0	0	0	0	0	4_R_0	0	0	1	1	1	1	1
1	0	0	0	0	0	0	0	0	0	4_B_0	0	0	0	0	1	1	1	1	1
1	5_B_0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1
1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
1	5_R_0	100	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
